lap_num,s1_time,incident,related_b_hits,related_t_hits,brake_throttle_deltas
82,39576,crash,['../Data/image-data/session-9/brake/Lap_5_crash_causing_brake.png'],['../Data/image-data/session-9/throttle/Lap_5_crash_causing_throttle_hit.png'],"[[0.9881038665771484, 1.0, 1.0]]"
83,28101,none,"['../Data/image-data/session-9/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-9/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-9/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-9/throttle/Lap_6_Throttle hit_2.png']","[[1.0171310901641846, 1.0, 1.0], [2.598050355911255, 2.0, 2.0]]"
84,28787,track limit violation,['../Data/image-data/session-9/brake/Lap_7_track_limit_violating_brake.png'],['../Data/image-data/session-9/throttle/Lap_7_track_limit_violating_throttle_hit.png'],"[[1.440661907196045, 1.0, 1.0], [2.5447943210601807, 2.0, 2.0]]"
85,29750,none,"['../Data/image-data/session-10/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_1_Throttle hit_2.png']","[[1.6160471439361572, 1.0, 1.0], [3.0100529193878174, 2.0, 2.0]]"
86,28013,track limit violation,['../Data/image-data/session-10/brake/Lap_2_track_limit_violating_brake.png'],['../Data/image-data/session-10/throttle/Lap_2_track_limit_violating_throttle_hit.png'],"[[0.9921829700469971, 1.0, 1.0]]"
87,28171,none,"['../Data/image-data/session-10/brake/Lap_3_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_3_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_3_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_3_Throttle hit_2.png']","[[1.0975801944732666, 1.0, 1.0], [2.7350897789001465, 2.0, 2.0]]"
88,28246,none,"['../Data/image-data/session-10/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_4_Throttle hit_2.png']","[[1.2195510864257812, 1.0, 1.0], [2.0437419414520264, 2.0, 2.0]]"
89,28999,none,"['../Data/image-data/session-10/brake/Lap_5_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_5_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_5_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_5_Throttle hit_2.png']","[[1.5193328857421875, 1.0, 1.0], [3.0356717109680176, 2.0, 2.0]]"
90,28177,none,"['../Data/image-data/session-10/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_6_Throttle hit_2.png']","[[1.114410638809204, 1.0, 1.0], [2.5244994163513184, 2.0, 2.0]]"
91,27789,none,"['../Data/image-data/session-10/brake/Lap_7_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_7_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_7_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_7_Throttle hit_2.png']","[[1.1045451164245605, 1.0, 1.0], [2.683706045150757, 2.0, 2.0]]"
92,28169,none,"['../Data/image-data/session-10/brake/Lap_8_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_8_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_8_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_8_Throttle hit_2.png']","[[1.114415168762207, 1.0, 1.0], [2.3730225563049316, 2.0, 2.0]]"
93,28245,none,"['../Data/image-data/session-10/brake/Lap_9_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_9_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_9_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_9_Throttle hit_2.png']","[[1.0357439517974854, 1.0, 1.0], [2.585441827774048, 2.0, 2.0]]"
94,29010,crash,['../Data/image-data/session-10/brake/Lap_10_crash_causing_brake.png'],['../Data/image-data/session-10/throttle/Lap_10_crash_causing_throttle_hit.png'],"[[0.9543261528015137, 1.0, 1.0]]"
95,28571,crash,['../Data/image-data/session-10/brake/Lap_11_crash_causing_brake.png'],['../Data/image-data/session-10/throttle/Lap_11_crash_causing_throttle_hit.png'],"[[0.9777004718780518, 1.0, 1.0], [2.127987861633301, 2.0, 2.0]]"
96,28053,none,"['../Data/image-data/session-10/brake/Lap_12_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_12_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_12_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_12_Throttle hit_2.png']","[[1.030689001083374, 1.0, 1.0], [2.7161760330200195, 2.0, 2.0]]"
97,28439,none,"['../Data/image-data/session-10/brake/Lap_13_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_13_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_13_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_13_Throttle hit_2.png']","[[1.5264620780944824, 1.0, 1.0], [1.9940736293792725, 2.0, 2.0]]"
98,28401,none,"['../Data/image-data/session-10/brake/Lap_14_Brake hit_1.png', '../Data/image-data/session-10/brake/Lap_14_Brake hit_2.png']","['../Data/image-data/session-10/throttle/Lap_14_Throttle hit_1.png', '../Data/image-data/session-10/throttle/Lap_14_Throttle hit_2.png']","[[1.6163814067840576, 1.0, 1.0], [2.246284008026123, 2.0, 2.0]]"
99,28407,none,"['../Data/image-data/session-11/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-11/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-11/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-11/throttle/Lap_1_Throttle hit_2.png']","[[1.0614550113677979, 1.0, 1.0], [2.881826162338257, 2.0, 2.0]]"
100,28687,none,"['../Data/image-data/session-11/brake/Lap_2_Brake hit_1.png', '../Data/image-data/session-11/brake/Lap_2_Brake hit_2.png']","['../Data/image-data/session-11/throttle/Lap_2_Throttle hit_1.png', '../Data/image-data/session-11/throttle/Lap_2_Throttle hit_2.png']","[[1.7636568546295166, 1.0, 1.0], [2.6742584705352783, 2.0, 2.0]]"
101,28631,track limit violation,['../Data/image-data/session-11/brake/Lap_3_track_limit_violating_brake.png'],['../Data/image-data/session-11/throttle/Lap_3_track_limit_violating_throttle_hit.png'],"[[1.1194815635681152, 1.0, 1.0], [2.4414539337158203, 2.0, 2.0]]"
102,28105,none,"['../Data/image-data/session-11/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-11/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-11/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-11/throttle/Lap_4_Throttle hit_2.png']","[[1.5302379131317139, 1.0, 1.0], [2.532409429550171, 2.0, 2.0]]"
103,28478,track limit violation,['../Data/image-data/session-11/brake/Lap_5_track_limit_violating_brake.png'],['../Data/image-data/session-11/throttle/Lap_5_track_limit_violating_throttle_hit.png'],"[[1.8119006156921387, 1.0, 1.0], [2.6455395221710205, 2.0, 2.0]]"
104,28625,none,"['../Data/image-data/session-11/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-11/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-11/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-11/throttle/Lap_6_Throttle hit_2.png']","[[1.137732744216919, 1.0, 1.0], [2.716409683227539, 2.0, 2.0]]"
105,28282,none,"['../Data/image-data/session-12/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-12/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-12/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-12/throttle/Lap_1_Throttle hit_2.png']","[[1.4306564331054688, 1.0, 1.0], [2.541292428970337, 2.0, 2.0]]"
106,28728,crash,['../Data/image-data/session-12/brake/Lap_2_crash_causing_brake.png'],['../Data/image-data/session-12/throttle/Lap_2_crash_causing_throttle_hit.png'],"[[1.3484349250793457, 1.0, 1.0], [2.234961748123169, 2.0, 2.0]]"
107,28336,none,"['../Data/image-data/session-12/brake/Lap_3_Brake hit_1.png', '../Data/image-data/session-12/brake/Lap_3_Brake hit_2.png']","['../Data/image-data/session-12/throttle/Lap_3_Throttle hit_1.png', '../Data/image-data/session-12/throttle/Lap_3_Throttle hit_2.png']","[[1.378577470779419, 1.0, 1.0], [2.3861327171325684, 2.0, 2.0]]"
108,28228,none,"['../Data/image-data/session-12/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-12/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-12/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-12/throttle/Lap_4_Throttle hit_2.png']","[[1.0863780975341797, 1.0, 1.0], [2.395291328430176, 2.0, 2.0]]"
109,28897,none,"['../Data/image-data/session-12/brake/Lap_5_Brake hit_1.png', '../Data/image-data/session-12/brake/Lap_5_Brake hit_2.png']","['../Data/image-data/session-12/throttle/Lap_5_Throttle hit_1.png', '../Data/image-data/session-12/throttle/Lap_5_Throttle hit_2.png']","[[1.7046334743499756, 1.0, 1.0], [2.3451573848724365, 2.0, 2.0]]"
